id,car_id,driveline
2477,2011 GMC Savana Passenger 2500 LT 6L,Rear-wheel drive
2478,2011 Chevrolet HHR Wagon LS,Front-wheel drive
2479,2011 Chevrolet HHR Wagon LS AT,Front-wheel drive
2480,2011 Chevrolet HHR Wagon 1LT,Front-wheel drive
2481,2011 Chevrolet HHR Wagon 1LT AT,Front-wheel drive
2482,2011 Chevrolet HHR Wagon 2LT,Front-wheel drive
2483,2011 Chevrolet HHR Wagon 2LT AT,Front-wheel drive
2484,2010 Chevrolet HHR Wagon LS,Front-wheel drive
2485,2010 Chevrolet HHR Wagon LS AT,Front-wheel drive
2486,2010 Chevrolet HHR Wagon 1LT,Front-wheel drive
2487,2010 Chevrolet HHR Wagon 1LT AT,Front-wheel drive
2488,2010 Chevrolet HHR Wagon 2LT,Front-wheel drive
2489,2010 Chevrolet HHR Wagon 2LT AT,Front-wheel drive
2490,2010 Chevrolet HHR Wagon SS,Front-wheel drive
2491,2010 Chevrolet HHR Wagon SS AT,Front-wheel drive
2492,2011 Chevrolet HHR Panel LS,Front-wheel drive
2493,2011 Chevrolet HHR Panel LS AT,Front-wheel drive
2494,2010 Chevrolet HHR Panel LS,Front-wheel drive
2495,2010 Chevrolet HHR Panel LS AT,Front-wheel drive
2496,2010 Chevrolet HHR Panel 1LT,Front-wheel drive
2497,2010 Chevrolet HHR Panel 1LT AT,Front-wheel drive
2498,2010 Chevrolet HHR Panel 2LT,Front-wheel drive
2499,2010 Chevrolet HHR Panel 2LT AT,Front-wheel drive
2500,2011 Porsche 911 Carrera GTS Cabriolet,Rear-wheel drive
2501,2011 Porsche Cayman,Rear-wheel drive
2502,2011 Porsche Cayman R,Rear-wheel drive
2503,2011 Porsche Cayman S,Rear-wheel drive
2504,2010 Porsche Cayman,Rear-wheel drive
2505,2010 Porsche Cayman S,Rear-wheel drive
2506,2012 Chevrolet Impala LS,Front-wheel drive
2507,2012 Chevrolet Impala LT,Front-wheel drive
2508,2012 Chevrolet Impala LTZ,Front-wheel drive
2509,2011 Chevrolet Impala LS,Front-wheel drive
2510,2011 Chevrolet Impala LT,Front-wheel drive
2511,2011 Chevrolet Impala LTZ,Front-wheel drive
2512,2011 Subaru Forester 2.5XT Premium,All-wheel drive
2513,2011 Subaru Forester 2.5X Limited,All-wheel drive
2514,2011 Subaru Forester 2.5X,All-wheel drive
2515,2011 Subaru Forester 2.5X Touring,All-wheel drive
2516,2011 Subaru Forester 2.5X Premium,All-wheel drive
2517,2011 Subaru Forester 2.5XT Touring,All-wheel drive
2518,2010 Chevrolet Impala LS,Front-wheel drive
2519,2010 Chevrolet Impala LT,Front-wheel drive
2520,2010 Chevrolet Impala LTZ,Front-wheel drive
2521,2011 Buick Enclave CX AWD,All-wheel drive
2522,2011 Buick Enclave CXL-2,Front-wheel drive
2523,2011 Buick Enclave CXL-1,Front-wheel drive
2524,2011 Buick Enclave CX,Front-wheel drive
2525,2011 Buick Enclave CXL-2 AWD,All-wheel drive
2526,2011 Buick Enclave CXL-1 AWD,All-wheel drive
2527,2010 Buick Enclave CXL-2,Front-wheel drive
2528,2010 Buick Enclave CX AWD,All-wheel drive
2529,2010 Buick Enclave CXL-1 AWD,All-wheel drive
2530,2010 Buick Enclave CX,Front-wheel drive
2531,2010 Buick Enclave CXL-2 AWD,All-wheel drive
2532,2010 Buick Enclave CXL-1,Front-wheel drive
2533,2011 Suzuki Grand Vitara,Rear-wheel drive
2534,2011 Suzuki Grand Vitara Premium,Rear-wheel drive
2535,2011 Suzuki Grand Vitara Premium 4WD,All-wheel drive
2536,2011 Suzuki Grand Vitara Limited,Rear-wheel drive
2537,2011 Suzuki Grand Vitara Limited 4WD,All-wheel drive
2538,2011 Buick Lacrosse CX,Front-wheel drive
2539,2011 Buick Lacrosse CXS,Front-wheel drive
2540,2011 Buick Lacrosse CXL AWD,All-wheel drive
2541,2011 Buick Lacrosse CXL,Front-wheel drive
2542,2010 Buick Lacrosse CX,Front-wheel drive
2543,2010 Buick Lacrosse CXL AWD,All-wheel drive
2544,2010 Buick Lacrosse CXS,Front-wheel drive
2545,2010 Buick Lacrosse CXL,Front-wheel drive
2546,2010 Buick Lacrosse CX V6,Front-wheel drive
2547,2010 Suzuki Grand Vitara,Rear-wheel drive
2548,2010 Suzuki Grand Vitara Premium,Rear-wheel drive
2549,2010 Suzuki Grand Vitara Premium 4WD,All-wheel drive
2550,2010 Suzuki Grand Vitara XSport,Rear-wheel drive
2551,2010 Suzuki Grand Vitara XSport 4WD,All-wheel drive
2552,2010 Suzuki Grand Vitara Limited,Rear-wheel drive
2553,2010 Suzuki Grand Vitara Limited 4WD,All-wheel drive
2554,2010 Suzuki Grand Vitara Limited 3.2L 4WD,All-wheel drive
2555,2010 Suzuki Grand Vitara Special Edition,All-wheel drive
2556,2011 GMC Savana Passenger 3500 LS,Rear-wheel drive
2557,2011 GMC Savana Passenger 3500 LT,Rear-wheel drive
2558,2011 Honda Odyssey LX,Front-wheel drive
2559,2011 Honda Odyssey EX,Front-wheel drive
2560,2011 Honda Odyssey EX-L,Front-wheel drive
2561,2011 Honda Odyssey Touring,Front-wheel drive
2562,2011 Honda Odyssey Touring Elite,Front-wheel drive
2563,2011 GMC Savana Passenger 3500 Extended Wheelbase LS,Rear-wheel drive
2564,2011 GMC Savana Passenger 3500 Extended Wheelbase LT,Rear-wheel drive
2565,2011 GMC Savana Cargo 1500,Rear-wheel drive
2566,2011 GMC Savana Cargo 1500 5.3L,Rear-wheel drive
2567,2011 GMC Savana Cargo 1500 AWD,All-wheel drive
2568,2011 GMC Savana Cargo 2500,Rear-wheel drive
2569,2011 GMC Savana Cargo 2500 6L,Rear-wheel drive
2570,2010 GMC Sierra 1500 Long Box WT 2WD 4.8L,Rear-wheel drive
2571,2011 GMC Savana Cargo 2500 Extended Wheelbase,Rear-wheel drive
2572,2011 GMC Savana Cargo 3500,Rear-wheel drive
2573,2010 GMC Sierra 1500 Long Box WT 2WD,Rear-wheel drive
2574,2011 GMC Savana Cargo 3500 Extended Wheelbase,Rear-wheel drive
2575,2011 Subaru Forester 2.5X AT,All-wheel drive
2576,2011 Subaru Forester 2.5X Premium AT,All-wheel drive
2577,2010 Honda Odyssey LX,Front-wheel drive
2578,2010 Honda Odyssey EX,Front-wheel drive
2579,2010 Honda Odyssey EX-L,Front-wheel drive
2580,2010 Honda Odyssey Touring,Front-wheel drive
2581,2010 GMC Savana Passenger 1500 LS,Rear-wheel drive
2582,2010 GMC Savana Passenger 1500 LS AWD,All-wheel drive
2583,2010 GMC Savana Passenger 1500 LT,Rear-wheel drive
2584,2010 GMC Savana Passenger 1500 LT AWD,All-wheel drive
2585,2011 Suzuki Kizashi S,Front-wheel drive
2586,2011 Suzuki Kizashi Sport GTS,Front-wheel drive
2587,2010 GMC Savana Cargo 1500,Rear-wheel drive
2588,2010 GMC Savana Cargo 1500 AWD,All-wheel drive
2589,2010 Suzuki Kizashi S,Front-wheel drive
2590,2010 Suzuki Kizashi GTS,Front-wheel drive
2591,2010 Suzuki Kizashi SLS,Front-wheel drive
2592,2011 Saab 9-3 2.0T Aero Convertible MT,Front-wheel drive
2593,2011 Saab 9-3 2.0T Convertible,Front-wheel drive
2594,2011 Saab 9-3 2.0T Convertible AT,Front-wheel drive
2595,2011 Saab 9-3 2.0T Aero Convertible,Front-wheel drive
2596,2010 Saab 9-3 2.0T Convertible AT,Front-wheel drive
2597,2010 Saab 9-3 2.0T Aero Convertible MT,Front-wheel drive
2598,2010 Saab 9-3 2.0T Convertible,Front-wheel drive
2599,2010 Saab 9-3 2.0T Aero Convertible,Front-wheel drive
2600,2011 Suzuki SX4 Sport Sedan,Front-wheel drive
2601,2011 Suzuki SX4 Sport Sedan S,Front-wheel drive
2602,2011 Suzuki SX4 Sport Sedan LE,Front-wheel drive
2603,2010 Suzuki SX4 Sportback GTS,Front-wheel drive
2604,2011 Suzuki SX4 Sportback,Front-wheel drive
2605,2011 Suzuki SX4 Sportback Technology,Front-wheel drive
2606,2010 Suzuki SX4 Sport,Front-wheel drive
2607,2010 Suzuki SX4 Sport S,Front-wheel drive
2608,2010 Suzuki SX4 Sport LE,Front-wheel drive
2609,2011 Saab 9-3 2.0T Sport Sedan AT,Front-wheel drive
2610,2011 Saab 9-3 2.0T Aero Sport Sedan,Front-wheel drive
2611,2011 Saab 9-3 2.0T Aero Sport Sedan MT,Front-wheel drive
2612,2011 Saab 9-3 2.0T Aero Sport Sedan XWD,All-wheel drive
2613,2011 Saab 9-3 2.0T Sport Sedan XWD,All-wheel drive
2614,2011 Saab 9-3 2.0T Sport Sedan,Front-wheel drive
2615,2011 Saab 9-3 2.0T Aero Sport Sedan XWD MT,All-wheel drive
2616,2011 Saab 9-3 2.0T Sport Sedan XWD MT,All-wheel drive
2617,2010 Subaru Forester 2.5XT Premium,All-wheel drive
2618,2010 Subaru Forester 2.5X,All-wheel drive
2619,2010 Subaru Forester 2.5X Limited,All-wheel drive
2620,2010 Subaru Forester 2.5X AT,All-wheel drive
2621,2010 Subaru Forester 2.5XT Limited,All-wheel drive
2622,2010 Subaru Forester 2.5X Premium,All-wheel drive
2623,2010 Subaru Forester 2.5X Premium AT,All-wheel drive
2624,2011 Lexus ES 350,Front-wheel drive
2625,2010 Lexus GS 350 AWD Sedan,All-wheel drive
2626,2010 Lexus GS 350 Sedan,Rear-wheel drive
2627,2010 Lexus GS 460 Sedan,Rear-wheel drive
2628,2012 Subaru Impreza Sedan 2.0i,All-wheel drive
2629,2012 Subaru Impreza Sedan 2.0i PZEV,All-wheel drive
2630,2012 Subaru Impreza Sedan 2.0i Premium PZEV,All-wheel drive
2631,2012 Subaru Impreza Sedan 2.0i Premium,All-wheel drive
2632,2011 Buick Lucerne CXL,Front-wheel drive
2633,2011 Buick Lucerne CXL Premium,Front-wheel drive
2634,2011 Buick Lucerne Super,Front-wheel drive
2635,2011 Buick Lucerne CX,Front-wheel drive
2636,2010 Buick Lucerne CX-2,Front-wheel drive
2637,2010 Buick Lucerne CXL,Front-wheel drive
2638,2010 Buick Lucerne CX,Front-wheel drive
2639,2010 Buick Lucerne CXL Special Edition,Front-wheel drive
2640,2010 Buick Lucerne CXL-5,Front-wheel drive
2641,2010 Buick Lucerne CXL Premium,Front-wheel drive
2642,2010 Buick Lucerne CXL-3,Front-wheel drive
2643,2010 Buick Lucerne Super,Front-wheel drive
2644,2010 Buick Lucerne CXL-4,Front-wheel drive
2645,2011 Buick Regal CXL Turbo,Front-wheel drive
2646,2011 Buick Regal CXL,Front-wheel drive
2647,2011 Aston Martin DB9 Volante,Rear-wheel drive
2648,2011 Aston Martin DB9 Volante AT,Rear-wheel drive
2649,2010 Saab 9-3 2.0T Aero Sport Sedan,Front-wheel drive
2650,2010 Saab 9-3 2.0T Sport Sedan XWD,All-wheel drive
2651,2010 Saab 9-3 2.0T Aero Sport Sedan XWD,All-wheel drive
2652,2010 Saab 9-3 2.0T Sport Sedan XWD MT,All-wheel drive
2653,2010 Saab 9-3 2.0T Sport Sedan AT,Front-wheel drive
2654,2010 Saab 9-3 2.0T Sport Sedan,Front-wheel drive
2655,2011 Jeep  Grand Cherokee Laredo 4x2,Rear-wheel drive
2656,2011 Jeep Grand Cherokee Laredo 4x4,All-wheel drive
2657,2011 Jeep Grand Cherokee Laredo X 4x2,Rear-wheel drive
2658,2011 Jeep Grand Cherokee Laredo X 5.7L 4x2,Rear-wheel drive
2659,2011 Jeep Grand Cherokee Laredo X 4x4,All-wheel drive
2660,2011 Jeep Grand Cherokee Laredo X 5.7L 4x4,All-wheel drive
2661,2011 Jeep Grand Cherokee Limited 4x2,Rear-wheel drive
2662,2011 Jeep Grand Cherokee Limited 5.7L 4x2,Rear-wheel drive
2663,2011 Jeep Grand Cherokee Limited 4x4,All-wheel drive
2664,2011 Jeep Grand Cherokee Limited 5.7L 4x4,All-wheel drive
2665,2011 Jeep Grand Cherokee Overland 4x2,Rear-wheel drive
2666,2011 Jeep Grand Cherokee Overland 5.7L 4x2,Rear-wheel drive
2667,2011 Jeep Grand Cherokee Overland 4x4,All-wheel drive
2668,2011 Jeep Grand Cherokee Overland 5.7L 4x4,All-wheel drive
2669,2011 Jeep Grand Cherokee Overland Summit 4x2,Rear-wheel drive
2670,2011 Jeep Grand Cherokee Overland Summit 5.7L 4x2,Rear-wheel drive
2671,2011 Jeep Grand Cherokee Overland Summit 4x4,All-wheel drive
2672,2011 Jeep Grand Cherokee Overland Summit 5.7L 4x4,All-wheel drive
2673,2011 Jeep Grand Cherokee Laredo X 70th Anniversary 4x4,All-wheel drive
2674,2011 Jeep Grand Cherokee Laredo X 70th Anniversary 5.7L 4x4,All-wheel drive
2675,2010 Saab 9-3 2.0T Aero Sport Sedan XWD MT,All-wheel drive
2676,2010 Saab 9-3 2.0T Aero Sport Sedan MT,Front-wheel drive
2677,2010 Aston Martin DB9 Volante,Rear-wheel drive
2678,2010 Aston Martin DB9 Volante AT,Rear-wheel drive
2679,2010 Subaru Impreza WRX Sedan,All-wheel drive
2680,2011 Subaru Impreza WRX Sedan,All-wheel drive
2681,2010 Subaru Impreza Sedan 2.5i AT,All-wheel drive
2682,2010 Subaru Impreza Sedan 2.5i,All-wheel drive
2683,2011 Subaru Impreza Sedan 2.5i Premium AT,All-wheel drive
2684,2011 Subaru Impreza Sedan 2.5i,All-wheel drive
2685,2011 Subaru Impreza WRX STI Sedan,All-wheel drive
2686,2011 Subaru Impreza Sedan 2.5i Premium,All-wheel drive
2687,2011 Subaru Impreza Sedan 2.5i AT,All-wheel drive
2688,2010 Jeep Grand Cherokee Laredo,Rear-wheel drive
2689,2010 Jeep Grand Cherokee Laredo 5.7L,Rear-wheel drive
2690,2010 Jeep Grand Cherokee Laredo 4x4,All-wheel drive
2691,2010 Jeep Grand Cherokee Laredo 5.7L 4x4,All-wheel drive
2692,2010 Jeep Grand Cherokee Limited,Rear-wheel drive
2693,2010 Jeep Grand Cherokee Limited 5.7L,Rear-wheel drive
2694,2010 Jeep Grand Cherokee Limited 4x4,All-wheel drive
2695,2010 Jeep Grand Cherokee Limited 5.7L 4x4,All-wheel drive
2696,2010 Jeep Grand Cherokee SRT8,All-wheel drive
2697,2011 Porsche 911 GT2 RS Coupe,Rear-wheel drive
2698,2011 Jeep Liberty Sport 4x2,Rear-wheel drive
2699,2011 Jeep Liberty Sport 4x4,All-wheel drive
2700,2011 Jeep Liberty Jet Sport 4x2,Rear-wheel drive
2701,2011 Jeep Liberty Jet Sport 4x4,All-wheel drive
2702,2011 Jeep Liberty Sport 70th Anniversary 4x2,Rear-wheel drive
2703,2011 Jeep Liberty Sport 70th Anniversary 4x4,All-wheel drive
2704,2011 Jeep Liberty Limited Edition 4x2,Rear-wheel drive
2705,2011 Jeep Liberty Limited Edition 4x4,All-wheel drive
2706,2011 Jeep Liberty Limited 70th Anniversary 4x2,Rear-wheel drive
2707,2011 Jeep Liberty Limited 70th Anniversary 4x4,All-wheel drive
2708,2011 Jeep Liberty Jet Limited 4x2,Rear-wheel drive
2709,2011 Jeep Liberty Jet Limited 4x4,All-wheel drive
2710,2011 Jeep Liberty Renegade 4x4,All-wheel drive
2711,2011 Land Rover LR2,All-wheel drive
2712,2011 Land Rover LR2 HSE,All-wheel drive
2713,2011 Land Rover LR2 HSE LUX,All-wheel drive
2714,2010 Land Rover LR2 HSE,All-wheel drive
2715,2011 Land Rover LR4 HSE LUX,All-wheel drive
2716,2011 Land Rover LR4,All-wheel drive
2717,2011 Land Rover LR4 HSE,All-wheel drive
2718,2010 Land Rover LR4 V8,All-wheel drive
2719,2010 Jeep Liberty Sport,Rear-wheel drive
2720,2010 Jeep Liberty Sport 4x4,All-wheel drive
2721,2010 Jeep Liberty Limited,Rear-wheel drive
2722,2010 Jeep Liberty Limited 4x4,All-wheel drive
2723,2010 Jeep Liberty Renegade,All-wheel drive
2724,2011 Land Rover Range Rover S-Charged,All-wheel drive
2725,2011 Land Rover Range Rover HSE LUX,All-wheel drive
2726,2011 Land Rover Range Rover HSE,All-wheel drive
2727,2010 Land Rover Range Rover Supercharged,All-wheel drive
2728,2010 Land Rover Range Rover HSE,All-wheel drive
2729,2012 Land Rover Range Rover Evoque Dynamic,All-wheel drive
2730,2012 Land Rover Range Rover Evoque Pure,All-wheel drive
2731,2012 Land Rover Range Rover Evoque Coupe Pure,All-wheel drive
2732,2012 Land Rover Range Rover Evoque Coupe Dynamic,All-wheel drive
2733,2012 Land Rover Range Rover Evoque Prestige,All-wheel drive
2734,2011 Chrysler 200 Touring Convertible,Front-wheel drive
2735,2011 Chrysler 200 Limited Convertible,Front-wheel drive
2736,2011 Chrysler 200 S Convertible,Front-wheel drive
2737,2010 Ferrari 612 Scaglietti,Rear-wheel drive
2738,2011 Land Rover Range Rover Sport HSE,All-wheel drive
2739,2011 Land Rover Range Rover Sport Supercharged,All-wheel drive
2740,2011 Land Rover Range Rover Sport HSE LUX,All-wheel drive
2741,2010 Chrysler Sebring LX Convertible,Front-wheel drive
2742,2010 Chrysler Sebring Touring Convertible,Front-wheel drive
2743,2010 Chrysler Sebring Limited Convertible,Front-wheel drive
2744,2010 Land Rover Range Rover Sport HSE,All-wheel drive
2745,2010 Land Rover Range Rover Sport Supercharged,All-wheel drive
2746,2010 Chrysler Sebring Touring Sedan,Front-wheel drive
2747,2010 Chrysler Sebring Limited Sedan,Front-wheel drive
2748,2011 Land Rover Range Rover Sport Autobiography,All-wheel drive
2749,2011 Saab 9-3 2.0T SportCombi,Front-wheel drive
2750,2011 Saab 9-3 2.0T Aero SportCombi MT,Front-wheel drive
2751,2011 Saab 9-3 2.0T SportCombi XWD,All-wheel drive
2752,2011 Saab 9-3 2.0T SportCombi AT,Front-wheel drive
2753,2011 Saab 9-3 2.0T Aero SportCombi,Front-wheel drive
2754,2011 Saab 9-3 2.0T SportCombi XWD MT,All-wheel drive
2755,2012 Scion tC,Front-wheel drive
2756,2012 Scion tC AT,Front-wheel drive
2757,2012 Scion tC 7.0,Front-wheel drive
2758,2012 Scion tC 7.0 AT,Front-wheel drive
2759,2011 Scion tC,Front-wheel drive
2760,2011 Scion tC AT,Front-wheel drive
2761,2010 Scion tC,Front-wheel drive
2762,2010 Scion tC AT,Front-wheel drive
2763,2011 Aston Martin DB9 Coup,Rear-wheel drive
2764,2011 Aston Martin DB9 Coup AT,Rear-wheel drive
2765,2010 Scion tC 6.0,Front-wheel drive
2766,2010 Scion tC 6.0 AT,Front-wheel drive
2767,2010 Aston Martin DB9 Coup,Rear-wheel drive
2768,2010 Aston Martin DB9 Coup AT,Rear-wheel drive
2769,2010 Saab 9-3 2.0T SportCombi XWD MT,All-wheel drive
2770,2010 Saab 9-3 2.0T SportCombi AT,Front-wheel drive
2771,2010 Saab 9-3 2.0T Aero SportCombi MT,Front-wheel drive
2772,2010 Saab 9-3 2.0T SportCombi XWD,All-wheel drive
2773,2010 Saab 9-3 2.0T Aero SportCombi,Front-wheel drive
2774,2012 MINI Cooper Hardtop,Front-wheel drive
2775,2012 MINI Cooper Hardtop AT,Front-wheel drive
2776,2012 MINI Cooper S Hardtop,Front-wheel drive
2777,2012 MINI Cooper S Hardtop AT,Front-wheel drive
2778,2012 MINI John Cooper Works Hardtop,Front-wheel drive
2779,2011 MINI Cooper Hardtop,Front-wheel drive
2780,2011 MINI Cooper Hardtop AT,Front-wheel drive
2781,2011 MINI Cooper S Hardtop,Front-wheel drive
2782,2011 MINI Cooper S Hardtop AT,Front-wheel drive
2783,2011 MINI John Cooper Works Hardtop,Front-wheel drive
2784,2010 MINI Cooper Hardtop,Front-wheel drive
2785,2010 MINI Cooper Hardtop AT,Front-wheel drive
2786,2010 MINI Cooper S Hardtop,Front-wheel drive
2787,2010 MINI Cooper S Hardtop AT,Front-wheel drive
2788,2010 MINI John Cooper Works Hardtop,Front-wheel drive
2789,2012 MINI Cooper Convertible,Front-wheel drive
2790,2012 MINI Cooper Convertible AT,Front-wheel drive
2791,2012 MINI Cooper S Convertible,Front-wheel drive
2792,2012 MINI Cooper S Convertible AT,Front-wheel drive
2793,2012 MINI John Cooper Works Convertible,Front-wheel drive
2794,2011 MINI Cooper Convertible,Front-wheel drive
2795,2011 MINI Cooper Convertible AT,Front-wheel drive
2796,2011 MINI Cooper S Convertible,Front-wheel drive
2797,2011 MINI Cooper S Convertible AT,Front-wheel drive
2798,2011 MINI John Cooper Works Convertible,Front-wheel drive
2799,2010 MINI Cooper Convertible,Front-wheel drive
2800,2010 MINI Cooper Convertible AT,Front-wheel drive
2801,2010 MINI Cooper S Convertible,Front-wheel drive
2802,2010 MINI Cooper S Convertible AT,Front-wheel drive
2803,2010 MINI John Cooper Works Convertible,Front-wheel drive
2804,2011 Jaguar XJ,Rear-wheel drive
2805,2011 Jaguar XJL,Rear-wheel drive
2806,2011 Jaguar XJ Supercharged,Rear-wheel drive
2807,2011 Jaguar XJL Supercharged,Rear-wheel drive
2808,2011 Jaguar XJ Supersport,Rear-wheel drive
2809,2011 Jaguar XJL Supersport,Rear-wheel drive
2810,2012 Chevrolet Malibu 1LS,Front-wheel drive
2811,2012 Chevrolet Malibu 1LT,Front-wheel drive
2812,2012 Chevrolet Malibu 2LT,Front-wheel drive
2813,2012 Chevrolet Malibu 3LT,Front-wheel drive
2814,2012 Chevrolet Malibu 1LZ,Front-wheel drive
2815,2012 Chevrolet Malibu 2LZ,Front-wheel drive
2816,2010 Chrysler Sebring Limited Sedan 3.5L,Front-wheel drive
2817,2012 MINI Cooper Clubman,Front-wheel drive
2818,2012 MINI Cooper Clubman AT,Front-wheel drive
2819,2012 MINI Cooper S Clubman,Front-wheel drive
2820,2012 MINI Cooper S Clubman AT,Front-wheel drive
2821,2012 MINI John Cooper Works Clubman,Front-wheel drive
2822,2011 Aston Martin DBS Volante,Rear-wheel drive
2823,2011 Aston Martin DBS Volante AT,Rear-wheel drive
2824,2011 MINI Cooper Clubman,Front-wheel drive
2825,2011 MINI Cooper Clubman AT,Front-wheel drive
2826,2011 MINI Cooper S Clubman,Front-wheel drive
2827,2011 MINI Cooper S Clubman AT,Front-wheel drive
2828,2011 MINI John Cooper Works Clubman,Front-wheel drive
2829,2010 MINI Cooper Clubman,Front-wheel drive
2830,2010 MINI Cooper Clubman AT,Front-wheel drive
2831,2010 MINI Cooper S Clubman,Front-wheel drive
2832,2010 MINI Cooper S Clubman AT,Front-wheel drive
2833,2010 MINI John Cooper Works Clubman,Front-wheel drive
2834,2011 Aston Martin Rapide,Rear-wheel drive
2835,2011 Aston Martin Rapide Luxe,Rear-wheel drive
2836,2011 Chrysler 200 LX Sedan,Front-wheel drive
2837,2011 Chrysler 200 Touring Sedan,Front-wheel drive
2838,2011 Chrysler 200 Limited Sedan,Front-wheel drive
2839,2011 Chrysler 200 S Sedan,Front-wheel drive
2840,2011 Jaguar XK Convertible,Rear-wheel drive
2841,2011 Jaguar XKR Convertible,Rear-wheel drive
2842,2011 Jaguar XK Coup,Rear-wheel drive
2843,2011 Jaguar XKR Coup,Rear-wheel drive
2844,2011 Jaguar XKR175 75th Anniversary Limited Ed. Coup,Rear-wheel drive
2845,2011 Chrysler 300,Rear-wheel drive
2846,2011 Chrysler 300 Limited,Rear-wheel drive
2847,2011 Chrysler 300C RWD,Rear-wheel drive
2848,2011 Chrysler 300C AWD,All-wheel drive
2849,2010 Jaguar XK Convertible,Rear-wheel drive
2850,2010 Jaguar XKR Convertible,Rear-wheel drive
2851,2010 Subaru Impreza Sedan 2.5i Premium AT,All-wheel drive
2852,2010 Subaru Impreza Sedan 2.5i Premium,All-wheel drive
2853,2010 Subaru Impreza Sedan 2.5GT,All-wheel drive
2854,2010 Jaguar XKR Coup,Rear-wheel drive
2855,2010 Jaguar XK Coup,Rear-wheel drive
2856,2011 Jaguar XF Premium,Rear-wheel drive
2857,2011 Jaguar XF,Rear-wheel drive
2858,2011 Jaguar XFR,Rear-wheel drive
2859,2011 Jaguar XF Supercharged,Rear-wheel drive
2860,2011 Jeep Patriot Sport 4x2,Front-wheel drive
2861,2011 Jeep Patriot Sport 2.4L 4x2,Front-wheel drive
2862,2011 Jeep Patriot Sport 4x4,All-wheel drive
2863,2011 Jeep Patriot Latitude 4x2,Front-wheel drive
2864,2011 Jeep Patriot Latitude 2.4L 4x2,Front-wheel drive
2865,2011 Jeep Patriot Latitude 4x4,All-wheel drive
2866,2011 Jeep Patriot Latitude X 4x2,Front-wheel drive
2867,2011 Jeep Patriot Latitude X 4x4,All-wheel drive
2868,2011 Jeep Patriot Latitude X 70th Anniversary 4x2,Front-wheel drive
2869,2011 Jeep Patriot Latitude X 70th Anniversary 4x4,All-wheel drive
2870,2010 Chrysler 300 Touring,Rear-wheel drive
2871,2010 Chrysler 300 Touring AWD,All-wheel drive
2872,2010 Chrysler 300 Touring Plus,Rear-wheel drive
2873,2010 Chrysler 300 Limited,Rear-wheel drive
2874,2010 Chrysler 300 Limited AWD,All-wheel drive
2875,2010 Chrysler 300 C Hemi,Rear-wheel drive
2876,2010 Chrysler 300 C AWD,All-wheel drive
2877,2010 Chrysler 300 S V6,Rear-wheel drive
2878,2010 Chrysler 300 S V8,Rear-wheel drive
2879,2010 Chrysler 300 SRT8,Rear-wheel drive
2880,2011 Chrysler Town and Country Touring,Front-wheel drive
2881,2011 Chrysler Town and Country Touring-L,Front-wheel drive
2882,2011 Chrysler Town and Country Limited,Front-wheel drive
2883,2010 Chrysler Town and Country LX,Front-wheel drive
2884,2010 Chrysler Town and Country Limited,Front-wheel drive
2885,2010 Chrysler Town and Country Touring,Front-wheel drive
2886,2010 Chrysler Town and Country Touring Plus,Front-wheel drive
2887,2010 Jaguar XF,Rear-wheel drive
2888,2010 Jaguar XF Premium,Rear-wheel drive
2889,2010 Jaguar XF Supercharged,Rear-wheel drive
2890,2010 Jaguar XFR,Rear-wheel drive
2891,2010 Jeep Patriot Sport,Front-wheel drive
2892,2010 Jeep Patriot Sport 2.4L,Front-wheel drive
2893,2010 Jeep Patriot Sport 4x4,All-wheel drive
2894,2010 Jeep Patriot Sport Fleet,Front-wheel drive
2895,2010 Jeep Patriot Sport Fleet 2.4L,Front-wheel drive
2896,2010 Jeep Patriot Sport Fleet 4x4,All-wheel drive
2897,2010 Jeep Patriot Limited,Front-wheel drive
2898,2010 Jeep Patriot Limited 4x4,All-wheel drive
2899,2011 Lotus Elise R,Rear-wheel drive
2900,2011 Lotus Elise SC,Rear-wheel drive
2901,2010 Lotus Elise SC,Rear-wheel drive
2902,2009 Lotus Elise,Rear-wheel drive
2903,2009 Lotus Elise SC,Rear-wheel drive
2904,2011 Chevrolet Malibu LS,Front-wheel drive
2905,2011 Chevrolet Malibu 1LT,Front-wheel drive
2906,2011 Chevrolet Malibu 2LT,Front-wheel drive
2907,2011 Chevrolet Malibu 2LT V6,Front-wheel drive
2908,2011 Chevrolet Malibu LTZ,Front-wheel drive
2909,2011 Chevrolet Malibu LTZ V6,Front-wheel drive
2910,2011 Lotus Evora,Rear-wheel drive
2911,2012 MINI Cooper Countryman,Front-wheel drive
2912,2012 MINI Cooper Countryman AT,Front-wheel drive
2913,2012 MINI Cooper S Countryman,Front-wheel drive
2914,2012 MINI Cooper S Countryman AT,Front-wheel drive
2915,2012 MINI Cooper S Countryman All4,All-wheel drive
2916,2012 MINI Cooper S Countryman All4 AT,All-wheel drive
2917,2011 MINI Cooper Countryman,Front-wheel drive
2918,2011 MINI Cooper Countryman AT,Front-wheel drive
2919,2011 MINI Cooper S Countryman,Front-wheel drive
2920,2011 MINI Cooper S Countryman AT,Front-wheel drive
2921,2011 MINI Cooper S Countryman All4,All-wheel drive
2922,2011 MINI Cooper S Countryman All4 AT,All-wheel drive
2923,2010 Chevrolet Malibu LS,Front-wheel drive
2924,2010 Chevrolet Malibu Fleet,Front-wheel drive
